,POS_Tweet,class
63,woof woof hot scally lad,2
64,have ya ever asked bitch bitches kanye voice yes,1
65,u gone bring ur side bitch game know ya gf friends swear,1
66,woof woof hot soles,2
67,eat amp dishes oreo,2
68,bitch fuck u maybe youll get better httptcotprevwfqs,1
69,man bitch ass niggah please use complete sentences,1
70,eggplant emoji doey say looked scream lmao,2
71,thats sexy bitch,1
72,seh pussy wetter shower curtain,1
73,need see pic posted bitch said racist shit,1
74,fuck skateboarding yall wood pushing faggots man ball life,1
75,baby monkey bathtime soooo,2
76,aint shit lol,1
77,u ever kill ant sidewalk think damn nigga way get pussyno bs b gtchance,1
78,rings mvps bitches lol,1
79,ppl talk bad ghettohood kid growing nigga funnnnnnn,1
80,facts tattoostattoo hes pussy tattooing nipples,1
81,nelayden wanting act niggas bad shit aint cuteeeee act bitches,1
82,worshiping bitch woof woof,1
83,thatmanpalmer lost buttcheek piercings yeah shes hoe,1
84,ok sis rather broke bitch shrugs shell tell works,1
85,queer gaywad,0
86,faggot read tweets dat k wasnt even funny lol,1
87,bitch ungrateful fr,1
88,kidnapped bitch,1
89,whitethunduh alsarabsss hes beaner smh tell hes mexican,0
90,happy birthday nigs yo,1
91,ur teacher tells u u homework bitch need go,1
92,eating hoe lol lol john nigga said john paul,1
93,yall lil ugly bald headed bitches stop making makeup amp weave,1
94,better win damn game go riot shit better start looting nig,1
95,going back school sucks dick hoes attend,1
96,way fuck yo bitch year old,1
97,whitethunduh come never bring food dont car retard,1
98,doesnt show hella tinder hoes friend anymore chill brought prople,1
99,bout pussy,1
100,ltbitch want likes depressing shitfoh,1
101,lilaerii girl know spitting shit amp going lbvsbitch plz,1
102,let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick,1
103,shake excuse go full retard seconds,1
104,amen miley dont need act hoe bc shes emotionally damaged foh,1
105,loyal female wayyyyy better hoes idc,1
106,licking pussy meow meow,1
107,th man even faggot ny fans stands,1
108,happen ent bitches got ran threw side foothill bitch,1
109,whitethunduh im bitch okay nudes pat wow,1
110,vigxrarts youre fucking gay blacklisted hoe anyway,0
111,fuck wrong bitches nobody knows,1
112,shut upp make bitch,1
113,hate pregnant type bitch,1
114,bitches dont ever readem top,1
115,baseball season win love started,2
116,little stupid bitch dont fuck yoooooouuuu,1
117,really asked dead ass serious tho say bitch wheet,1
118,early bird night owl wise worms,2
119,overdosing heavy drugs doesnt sound bad tonight pussy shit day,2
120,fairy tale creatures,2
121,stnamebravo fag dont tweet aw lol,1
122,long trash careless thats real hahaha,2
123,hrheyd didnt say anything tho kiss faggot,1
124,play soccer cheat girls wear khaki coloured cargos haircut yup,2
125,go fat ass bitch lap,1
126,missed calls yo bitch twitter finna screamn,1
127,side bitch got ta know rules shitanybody ask cousin jersey thinkin moving lmmfao,1
128,los pies fuck yeah,1
129,hoes thinking wont slap ass ainna bruh,1
130,bitches wit edges talking,1
131,yall still going treating year nahhell yeah ima da sweet bandit steal bitches bags n shit,1
132,wan na sex mom fuck right pussy came damn got hacked fuck,1
133,kiss u eyes open watch bitchlmfao,1
134,woulda coulda shoulda ass hoe,1
135,happy bitch roll,1
136,used send bitch,1
137,ugly bitches duh bitch aint nobody elses,1
138,stnamebravo nigga know hacky sack hoes throw look passes lmao,1
139,getting outta bunch niggas amp jail amp dumb bitches mad kids fuckin em,1
140,isnt ghettoits smart idc,2
141,wife hoe cuz wouldnt care cheating force relationship first place,1
142,being single isnt excuse hoe,1
143,boy power bitch black power bitch,1
144,lets get drunk get blowed spit shit spark blunts amp fuck hoes white dudes chill,1
145,verballyabrupt bitch u world back,1
146,dont get dick sucked yo party bad bitch fr gone set,1
147,soooo cute probably hoes lot,1
148,cartoon alway nuffsaid saving hoes lmao lmao damn captain,1
149,wants get nose bad bois chav sockfetish stinking hot sox legs,2
150,wish bitch brother keezy ooooow bet,1
151,dressed cat basic pussy,1
152,pornhub get gaming stream feature dumb bitches gtfo get,1
153,stop scared choke sex u bitch ass like says guy hits women bed,1
154,whitethunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig,1
155,man molly ho fuck ya seed,1
156,youre man refer girl bitch,1
157,cat started beating shit finally got pussy,1
158,peel bring rewind back move line ooooow tf said trash,2
159,stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
160,old tape new cover upcoming mixtape waiting hoe,1
161,dirty foot ass bitches funny,1
162,whitethunduh thats get yellow flags amazing,1
163,got time bitches actin iffy,1
164,come stay alive knights nation still early bird special,2
165,hoes aint loyal aint amp wonder nobody decent wants,1
166,studs keep thinking soft hell girl many times screamed bitch okay,1
167,dry pussy bitches always blame condom,1
168,shut bitch ass,1
169,jail dropping mixtapes month hoes cant even text back,1
170,love hoes money wats wrong niggas,1
171,loyal bitch burbs daddy issues finding holographic sounding lol,1
172,cum easy hoe fact,1
173,real major fucking respect,1
174,wish bae got hoes tho,1
175,twerking bitch cook,1
176,bitch wtf,1
177,fight pussy zoe good man good maam move along,1
178,fucking snake bitches em,1
179,big booty hoes everywhere sheesh damn,1
180,tuned update report yankees teixeiramark weeks dliming,2
181,play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy,2
182,chokes year get field trash ass program,1
183,cowboy lol best amp ever dude cried bitch tv,1
184,theres black people niggers,0
185,u bitch potent,1
186,pissed lad past lick dirty soles slept,2
187,love frat w soft long soles,2
188,sexy lad hot soles arches,2
189,whitethunduh fam got ta cheat hoes depends female feel,1
190,got hicks lol,2
191,new twitter confusing shit back south america bitch,1
192,toto means ass vaginai think pussy cause toto santi nasty pussy,1
193,actually choose ugly bitch ass fat,1
194,bitch couldnt kill vibe ya tried dis love miley,1
195,tired bitches saying look mean nigga big af wear tight shirts grim everybody,1
196,birds grandkids never see thanks climate change httptcorbitegrnhm,2
197,beautiful bitch,1
198,purple gurl jus playin stupid hoe track still shitted sum gurls,1
199,getting taller bitches getting blurry,1
200,aint never seen bitch obsessed nigga obsessed mine,1
201,stay talking trash lets forget meant,1
202,least nigger,0
203,people always asking mixed bad asian bitch lol,1
204,snake coward least isnt cripple hero lmaoo,0
205,fosters home imaginary trash show everything tf,2
206,lowkey tired tired quiet go sleep hoe,1
207,bringing weird niggers mentions,1
208,dont love hoes,1
209,yo girl cant homeboys ol weak bitch ass nigga,1
210,dpalomino think worst advice gave dont pussy speed lol,1
211,tweet favorite animalpussy,1
212,hate strippers tell theyre dancers ballet dancers dont pop pussy stripper,1
213,double vision beerspoff pussy smh,1
214,bitches twerk computerme ya ya damn,1
215,yungmindless art nobody takin bitch,1
216,welfaregovernment aid claimed white people so yall black slander trash,2
217,bitches dont care play role,1
218,took find hiding lime treeiemonaids dis bitch da wrong tree bro,1
219,new shoes released theres glitter shoes dudes fag,0
220,inna di ghetto alone lmaoo,2
221,hoes teach teach u get curved know,2
222,bitches cant cook know suck dick ones,1
223,hoes get chose lol,1
224,well theyre hoesno expects loyal,1
225,bitch ass,1
226,im tired niggas retweetin naked bitch aint types bad lmaooo,1
227,just tony romo mavs game dont mean still bitch lmao cowgirls lol bitch fuck,1
228,shit rolls floor laughing,1
229,dont want sex gf feel using anonymous faggot,1
230,followers somebody bitch dont,1
231,ya bitch always bitching clearly care annoying bitch,1
232,catfish hoes thinkin slick niggas catching,1
233,worry bitch aint worried bout,1
234,side hoes insecure niggas cant handle real,1
235,bluprint bitch come scooting tent fuck shit,1
236,cousin said share hoes brothers said sharing caring love brothers,1
237,im hungry ionn spend money food hoe problems,1
238,dese hoes nigga,1
239,fuck bitch,1
240,threw th interception season trash,2
241,senior calls head coach racist quits team hes bitch,2
242,guess also zero time mansplaining pussy,1
243,chilling sexy scally lad,2
244,aint sharing bitch mines mines,1
245,money impress simple broke bitches,1
246,never anybodys bitch dont let people control change,1
247,stanleys tuku ho idk blah blah blah,2
248,stanleys mad cuh hahaha suure tuku ho ita,2
249,hoes crazy,1
250,aint ever gon slice bitch hart,1
251,fuckin fine tho dam dont bitch,1
252,wonder girl gave head boys drink magaluf twitter probly sends nudes fags,1
253,bitch yeah bitch call,1
254,hickies thighs right pussy gtgtgt right,1
255,still love longer young beautiful monkey ass,1
256,yall come frontbitch aint coming,1
257,faggot bitch,1
258,ipad dont work ball faggot work,1
259,scally get,2
260,yesterday stupid nigger,0
261,still supahot tho walks teacher test drops test bitch fohead,1
262,love eating pussy lol never get full lol eat shit forever lol ever,1
263,tizzimarie slushes hoes nasty anyway famthem hoes taste meds,1
264,slushes hoes nasty anyway fam,1
265,getting live fuck hell yea play hoe,1
266,bitch bitch stoner,1
267,ride bitch handle bars,1
268,aint hoe get traphoussseeeee,1
269,sad tv character deaths still bitter httptcorxyqoosmned stark man,2
270,harbor bitches hoes,1
271,pussy love,1
272,video coming little bitch bitchy promo,1
273,way fuck bitch,1
274,smuggler explains helped fighters,2
275,avis look cute together got ta get avi bitch,1
276,simple dont hoedont worry exposed fight mewhy,1
277,whys bitch boosting size isnt exactly healthy tho,1
278,nonlykeisha bet bitches bye,1
279,got ta protect tweets stalkers annoying got dope dick bitches loco,1
280,making marack girlfriend marackaf aye b pullin hoes taught,1
281,fag boy love,1
282,bitch sike always beefing,1
283,look rally bottom th,2
284,take advantage nice person hoes everyjuan,1
285,happy birthday bitch nigga pal,1
286,knowing hoes wont fuck bc aint got stacks wait till friday,1
287,cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca,1
288,hrheyd e said last last read nigs,1
289,punch real niggas face cause pussy gon punch right back,1
290,pussy still fresh lt something stank girls say,1
291,slapping greatest things slapped girl ass got mad aint get pussy week,1
292,buffalobills yeah much better fucking retard see youre mad,1
293,wtf dark bitches blonde looking blackampmilds,1
294,theres lane bitches need stay left n get right fuck outta face,1
295,hate boys deny bitches smh,1
296,ya nigs still saying dont eat butt,1
297,boss ass bitch needs sit corner,1
298,hoe cant,1
299,shit bitches betta stay da streets,1
300,bitches hold nigga get locked nigga go college military different story,1
301,friends hate ratchet hoe,1
302,love fuck niggas hoes,1
303,meat sexy fuck scally lad love meet trainers,1
304,perved scally lad fuck yeah,1
305,bitches love,1
306,legit watched seconds prob cause retarded smh,1
307,name cat ideas pussy,1
308,woof woof thug boy scally,1
309,nonlykeisha u see damn phone ringing married bitches makes demands havent called,1
310,favorite sophomore think hes funny really hes little hoe,1
311,sex positions httptcojmhzsczfnaw u call fucking soul outta bitch,1
312,bored supposed cute faggot sometimes,0
313,mans trash mans treasure,2
314,dont got type bitches thing like iongotnotype,1
315,whitethunduh lassen cc coach wants feel youll get nig doubt,0
316,god teeth gold chainwhite bitches cocaine,1
317,hoe hoe shhhhh,1
318,call rollers call thots known hoe,1
319,gon miss bitch bus driverno wont lie,1
320,hate bitches try put friendzone bitch tryin score put endzone,1
321,tried deny bird landed mouth gt hahaha,2
322,yall gimped tht bitch huh lol,1
323,ride woof woof,2
324,god love bitches love,1
325,long distance shit wack knew bitch cheating uh oh,1
326,bitches smh,1
327,dat pussy life amp got ta pay millon dollar fine,1
328,roses red violets blue niggers black know thats true dylan,1
329,sitting window sill window open bird tries fly peta,2
330,nigga gon nigga sound fuckin retarded,1
331,video entire media likely mock crybaby,2
332,even shy stfu kikis mom angelique cracker soup,1
333,got cut team already got hoes,1
334,bitch sips tea,1
335,hot gym pussy fuck yeah,1
336,patron alajmi arrested airport,2
337,call cause turn hoes,1
338,never bby lil dick got abortion last bitch,1
339,women try argue dick actually fucked pussy hate bitches,1
340,smoke public fuck cops man wan na dont run come retarded,1
341,tweety bird tho,2
342,pussy sweet watermelon,1
343,twitter rappers dm trash links,2
344,loud bitches annoy,1
345,eventually bitch turns hoe,1
346,jaimescudi swear oomf try talking tomorrow pussy,1
347,bitches pretending crazy aint never lied,1
348,whitethunduh k bye hoe um bye,1
349,jackies retard least make grilled cheese,0
350,ima keep giving pussy ass niggas reason hate,1
351,sole heaven,2
352,baddest bitch evaaaa,0
353,bitch,1
354,facts baldheaded bitch made shit,1
355,wit tweakin hoe shmurda,1
356,actin like th day,2
357,break lil bitch neck wont even feel sorry savage,1
358,fucking hot sneakersex sockfetish sniff trainersex love kinky scallies,1
359,dumb ass niggas pressed hoes weak fuck fuck weed hoes oreos,1
360,turn yo bitch eaterrrrrrrrr,1
361,dont trust dese hoes told st stay fans screen shot finna come shoot sumn,1
362,ima bowling team frfr tryouts passed tho theres retard,1
363,now u got u want bitch crazy party love attend,1
364,colored contacts eyesblinders minecause cant see,2
365,facts only dudes hoes say dont got hoes,1
366,rea start smacking bitches period best,1
367,bitch die get high cause neva know youre gon go sister perfect,1
368,drugs youre still wrong currieburry hahahahahahah im bitch sometimes,1
369,feeling pretty fuckin ghetto,1
370,nohands swears man easily easily nip,2
371,true ride die bitch fuck hahahahah,1
372,see brunos bitch ass twitter wtf sees voice,1
373,whitethunduh cool faggot chill tf cool nigga,1
374,whitethunduh sure bitch frfr tf,1
375,source news broadcast fucking retards nbc abc cnn keeping quiet,1
376,couple bitches saying know let money talk,1
377,grudges weirdosand bitches,1
378,told cigarettes birthdayyou also called trash rn,2
379,brownies tonight kind,2
380,text back dont give fuck text bitch damn someone hurt lol,1
381,got hoes left right yah thang,1
382,using find slope ass,1
383,lads gear scally lads n trainers get,2
384,bro fuck yeah sexy scally lad hot gear,1
385,helping mate love scally play yeah,1
386,fuck love scally lad action trainers,1
387,next year bitches gon got ta promise wont expose,1
388,so hot opcinjen bitch fuck trainer u dirty fucker,1
389,think celebrity pussy different locals yeah goods,1
390,saw ajumma walk beginning saying trash cant even listen lmaoo,2
391,sox fuck yeah love kinky scally lad w rank sox sneaks,1
392,dont ever expose females childish bitch nigga shiiii,1
393,sexilexi socass yassstrys new things bestfriendbitch love,1
394,remember wop video sexilexi,2
395,raw fuck man pussy getting workout,1
396,skinrubberboi sexy scally love sexy scally woof woof,2
397,life free bitches need write ya panties,1
398,currieburry bitches want burrito u catch potosino huh,1
399,whole hoes cuz said better,1
400,way eat cheese water cheese powder boiling water bitches,1
401,fade perpetually fresher real ass bitch rite,1
402,annoying bitch love,1
403,bitch got huggies,1
404,bitch bitchbye bitch,1
405,look bitch elcapacitor,1
406,money hoes,1
407,cant stand dont know want ass nigga bitch,1
408,gmailshorts way love sexy scally fucker,1
409,newly gay bitches dont kno shit works,1
410,bitch dont want real job become strippers lol lol,1
411,meat ainn n feelings bitch,1
412,want amp hoe accessories dea,1
413,albino,2
414,hoes aint loyal,1
415,yassssss bitch ate tacos fat fuck,1
416,made bitch lunch elizabethbatman love lunch,1
417,soon bitch gets rich political power views changepolitical,1
418,pussy day keeps devil,1
419,bitch mean,1
420,bitches want baby dont want children,1
421,bitch lost,1
422,like left side bitch cant street side said aint real,1
423,sounds ghetto word something else,2
424,wee cunt cos fucked ex isnt battering girls nailedive moved onstop pussy n urself,1
425,hoe,1
426,bando wit bitches,1
427,brownies brownie love movie,2
428,need bad bitch thats hotter realist shit ever said feelin everyday,1
429,way punch bitches,1
430,home much bitch looks start ape shit,1
431,chinese communicating u know giving imperialist yanks,2
432,say hi duces bitch,1
433,do believe hoes fact disagree believe fact loyalest bunchthese hoes,1
434,know ugly bitches know broke niggas,1
435,make make fall live nigga birds amp favorite songs weeknd,1
436,worry nigga see worry nigga see da nigga fuckin yo bitch,0
437,ever give pussy away keep tight alright,1
438,stack cause bitch called mixtape,1
439,bitches dumb things,1
440,pussy real nigga hungry,1
441,go cripple,1
442,everything look better bitch,1
443,cares hoe ass looks,1
444,bad bitch nigga tired fucking,1
445,chick lie bitch,1
446,fresh nigga kno need clean bitch kno working cuz wan see team rich,1
447,make rules dragon balls bitch call goku,1
448,boxes see ability bring flappybird node tubes bird,2
449,shit bitch fine bear,1
450,ass back ya fuckin wigger,1
451,dated okay aint mad yo stabbed heart love hoe,1
452,you know bitch please,1
453,have seen shows have seen hoes wasnt hot thick,1
454,bitch hitting hoe,1
455,married white woman lucky sumbitch,1
456,wan na nigga trinna savings account omg imma funny ass bitch man thats real shit,1
457,great grandmas grandmas hoeher moms hoe shes hoe long line hoes everyone,1
458,go look video man found kidnapped girls nigger,0
459,pussy still,1
460,draft gungho folks send war zones show,2
461,hotter bitch,1
462,u talking hoes bro n em talking hoes bro n em,1
463,crazy bitch hilarious,1
464,know shoes dirty fuck bitch dont calllike first things shoes dog,1
465,thrill billywith hillbilly heart,2
466,call bitch,1
467,cant handle liquor bitches cant handle meeedd,1
468,dont chase dudes chase bitches,1
469,dont love hoes baby forever,1
470,dont even need picture tamar bitch beat picture,1
471,dont hoes,1
472,found new way chug open mouth alot,2
473,fucking hate bitch much wan na smack face tongue kiss,1
474,got bitch set jada picketqueen latifah riding round nieces bitch titi,1
475,got sister told stop calling women bitches,1
476,guess night bitches die nigga,1
477,bitch bitch bitch eating halibut,1
478,ladyloveshes married still wan bang hershe wont sex bitch troubadour probably,1
479,heard looking bitch,1
480,hope dont get mad ladies call bitches bitches bc dont know names individually,1
481,got number bitch boy,1
482,know shit eatin grin fucked girl dreams sold car know youre faggot sell,1
483,older men cause theyre maturethat supposed fool bitch,1
484,prolly leave bitch cups hand yo hand hand,1
485,said dont tastes wolf pussy even know tastes,1
486,taught eat pussy cut hairi taught eat pussy hair movie,1
487,used dress cop toooh reallyyeahright mad pussyreallyyesill,1
488,went jail flock amp came home wit strike went jail bitch came home dike,1
489,fuck u u stand dizzy bitch unique amp separate phrases overheard relative saying younger,1
490,woke thi bitch go back bed,1
491,rather call bitch sir manager,1
492,beat pussy hard,1
493,slit throatneck,2
494,funky ass honkey shout macklemore tonight,1
495,comparing pussy,1
496,downloading new personality ordering new face bitch love yelling sex robot,1
497,feelin middle bitches surround cant miss em,1
498,gon piss dimple wasting prayers trash teams lol,1
499,probably main bitch chocolate dipped cinnamon apple,1
500,sick shit man bitch ass fed bro sbabylife threw yet pick smh,1
501,sorry fucked yo bitch really dig nigga,1
502,irritable bitch syndrome,1
503,love hide yo bitch youll keep shorty,1
504,talk back aint getting pussyme,1
505,youre bad bitch put hands high girl room starts waving hands,1
506,tie bitch basement donkeyfuck ass weeks straight hahahahahahahahaha beforeiselfdestruct,1
507,dumb hoe anthem,1
508,is albino dad hes asian,2
509,takes true directioner know bitch fans make boys cry,1
510,allegations u bedroom u see naive amp bitch know ur husband cheated u dumb,1
511,never late tag bitch,1
512,dykes hunter dyke dyke,1
513,youre ho,1
514,just follow yellow brick twitter,2
515,pussy good mama got ta gomy mama,1
516,cripple create remotecontrolled chick study shy penguins,2
517,lets nips ahoy spank maybe,1
518,lets kill cracker babies hear wow,0
519,correct wrong pimpin involve smackin bitches money,1
520,sbabylife cake look pussy,1
521,drose adidas lighter phone retarded,1
522,doet haar rol net ze ongesteld ongesteld dat soort vragen waar je denkt hoe leg ik die weer uit,2
523,maybe wants friend maybe shes stupid bitch never know make cum,1
524,plays smh neighbors ghetto get beat kids,2
525,grandma used call porch monkey time think refer broken bottle nigger knife,0
526,momma told tell mind yoooo damn motha fuckin business knowin bitch,1
527,nips freeeeezingand thats okay theyre slicing bra,1
528,twitter hacked pussy admit said want never said,1
529,girl aint gon able make tight loss job back damn bitch really,1
530,yo thought photoshopped face faggot smmfhi hate yall,0
531,song yr lol bitch run,1
532,always yelling bitches money meanwhile theyre broke still want bitches,1
533,pressed pussy nothin,1
534,bitches nan,1
535,boats hoes please thanks mom,1
536,amp kendrick lamar still trash,2
537,top pregnant ass sorry hoe never got money even water broke,1
538,only couple gotten past first base dying laughing maybe yanks need teach game,2
539,people now time race stand say mongerls turn world ghetto slum,0
540,whip shoot yo bitch club upsometimes freestyles freestyles okay,1
541,thanks pierced pussy come timeline,1
542,send shots belly bitch,1
543,nasty hoe,1
544,top comment video views fucking bitch,1
545,searching incredible story white mans quest find ingredients necessary make caribbean redneck land,1
546,selling soul material wishes fast cars bitches smile remix,1
547,aka rednecks sex dead bear,1
548,shall compare thee summer day summers day bitch,1
549,got ta shape pussy lips tho whole wheat organic pussy,1
550,said wigga man richtake durag,1
551,bitch anyway,1
552,got sniff test swamp pussies,1
553,slow fuck bitch know liveclassy young lady,1
554,so hes good football playerbut still acts nig,1
555,pussy son shove needle heart,1
556,looking go eat pussy yuppie fucks,1
557,straight dirt finger pussy know put,1
558,aint bro moves thats hoe moves,1
559,girl plain looking borderline ugly amp chunky least shes got nice smile amp great personality,1
560,devil grows hearts selfish wickedwhite brown yellow black color restricted,2
561,water isnt yellow healthy student,2
562,hoes aint loyal,1
563,hoes keep callin aint pickin,1
564,sour apple bitter bitches fuckin wit em,0
565,faggots petty fuckgot swept outta bitch,1
566,ghetto ass bands gets snuck,1
567,division trash gon win,2
568,fans waited bitch niggas hated hoes dated look mama,1
569,ghetto motherfuckers,1
570,recipe calls leftover brownie hell brownie brownie havent eaten yet,2
571,ratchet broads dont represent white ass cant talk trash cause racist shit,1
572,bitch dont,1
573,twitter bitch twitter life,1
574,roads diverged yellow wood chose,2
575,got bitch niggaal,1
576,empty heart empty bottle yellow cab like catch cuz yo latest ex made u mad,1
577,used girlfriend got hoes lookin good girl fuckin low,1
578,pussy regular pussy pussy,1
579,creepgoddess thats luv u fat bitches cuz yall got big ole titties booties,1
580,walked bitch made,1
581,hate niggers hate faggots hate spicskkk rally,0
582,queer hut butt,0
583,well bitch biology said,1
584,got ta report spam sbabylife head game better pussy,1
585,im done hoe pass squad,1
586,fuck callin jiggaboo nigga,0
587,people think gay marriage okay dont want future son seeing fags walking street holding hands,0
588,u little bitch chris aint bitch allisons mom,1
589,want play pussy,1
590,wan na evil bitch,1
591,want pussy side burns good question hahahahaha,1
592,shank bitch ceviche,1
593,rough days hahaha,1
594,bitch thats already established anything else say,1
595,forget brand new baby girl home bitch cookies burning,1
596,said word people inheritance kushiteethiopians,2
597,yardies,2
598,bitch horn shoot porn shirt worthy,1
599,yo sublet pussy,1
600,feet smell puss flowers bitch omg,1
601,mama bitch sentence ended relationship,1
602,aint gunna shit spear chucker,0
603,aint bitch favorite response long texts,1
604,yo boys pussy cats,1
605,cunt,1
606,pull pussy dodge collect panties alright stormy jake,1
607,take someone ghetto cant take ghetto,1
608,dont colored folks hell youre colored white fucks,1
609,got hella hoes,1
610,hit lights line toco bell morning back house miracle,2
611,look cute today swerve hoe,1
612,look like little birds help get dressed morning,2
613,ol mouth ass bitch,0
614,talk fag shits retarded thats cool scro lots tards living total kickass lives,1
615,took land make retarded imagecool concussion jokes,1
616,youre garden rose bitch weed,1
617,youre fucked shit dumb ass cunt go post pictures flat ass titties ig slut,1
618,queer,1
619,homeboy looking bad giving cash hoes,1
620,teeth stars thanks yellow far away,2
621,em playing trash sbabylife dont wan na play lol,1
622,aint time hoes get mom says,1
623,bitches,1
624,ayo even kill handicapped crippled bitcheslook scalp real close youll see triple sixes,0
625,bitch freak shit,1
626,bitch vagina little resilient,1
627,love nah bitch aint love,1
628,pussy root drama attribute put head mama,1
629,call cause im catchin erry hoe,1
630,captain save hoe annoying phrase,1
631,day judgement everybody gon looking big jumbotron watching fuck majjinn buu bitch,1
632,dont let side bitch settle headbutt,1
633,dont show bitch look,1
634,fuck pussy ass hater go suck dick die quick comments think wed good friends,0
635,hick raver venn diagram large intersection,2
636,hoes suck dick cus look john stockton hit em wit choppa luke fatherrr,1
637,wasnt work place id deck aye fucking right give tyson combo nd end uppercut fuck bitch,1
638,suck dick dip shes keeper true redneck woman,1
639,im gon rip bitch apartrip apartlol,1
640,britney bitch bible leviticus,1
641,niggas bitches bitch ass niggas ass hoes black ass bright ass hoes fag tags scally wags,1
642,pussy tryna go studio dont crib god god god word,1
643,ya hoes think cute skin tight cat suits assuming bodies dispute,1
644,omg bitch fucking stupid swear blah blah blah week later omg ilysm bae ur best friend swear,1
645,way fuck bitch name,0
646,poor whitey,0
647,riding bros still dont trust hoes,1
648,weekends going fabulous naa man youre seeing nae cunt theyll seconds flat u,1
649,good quote yall hoes,1
650,guys say gt mean looking girls bitches shaped mini fridge amp smell tortillas,1
651,rappers say twat makes feel weird,2
652,better pipe pussy wth even mean,1
653,fucking pussy couldnt even beat dick,1
654,youre cunt right,1
655,son bitch moment rains forget car windows,1
656,hoes ratchet sideline hoes hoes dumb hoes looking love hoes,1
657,get hit bitch campus wants,1
658,blowin tl bitches spare tire leavin dairy queen,1
659,much fun tribute betawards,2
660,pussy feels,1
661,pussy bitch,1
662,lot rain bad wasnt enough wash away teabagger racist white trash state teaparty azflooding,0
663,gets retweets cant even get bitch text back,1
664,bitches wetlmmfao,1
665,still calling community organizer still cunt well so,1
666,pussy,1
667,embarrassed remains caucus,2
668,bitches bitches dick fishes dock,1
669,calls race live coverage streaming online,2
670,ya bitch fruit loop,1
671,becomes real bitch bartender way way bar designed back pains,1
672,bitches love sosa bangbang,1
673,made gay couple so yes world bird existed creators jail sodomy,2
674,watching game bitch,1
675,amos walk together agreed,2
676,hate upholds justice court detest tells truth,2
677,head sole feet,2
678,birds air yet heavenly feeds themare much valuable,2
679,happy,2
680,hungrier ho diet,1
681,shoots bean bag rounds guy bitch dont,1
682,full white trash,0
683,full white trash moved,0
684,yeahgt feels knowing phones whining muslim bitches,1
685,kissing moses ass fight retarded ass actor faggot,1
686,uou ghetto,2
687,bitches great win team,1
688,whip cracker,1
689,trash noneuropeans allowed live,0
690,thats theyre possibly tucking penis bitch got man boobs,1
691,easier way get pussy sacrificing man hoodbest dont include losing ur self respect,1
692,aint fuckin retard crestgt fake ass,1
693,retardgt dont expect demand child bride yard cuz got,1
694,bitch walks back wordsgt questions,1
695,wordsgt dangle fan slang ho ting pang lick drum swing flick alarm bicgt cant hear fire,1
696,whiffy balls involuntary cuz walks climatechange scary sense hillbilly sneezegt,2
697,lifelong man miss firstballotunanimous,2
698,farmers white trash,0
699,people live outside white trash,0
